age,workclass,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,salary
22,0,9,2,1,3,0,1,41,0,1
21,0,10,2,2,1,0,0,40,0,1
40,0,13,0,4,2,0,1,60,0,1
30,0,13,2,4,1,4,1,40,5,1
29,5,13,0,5,2,0,1,50,0,0
19,0,10,2,2,1,4,1,35,0,1
47,0,13,0,4,0,0,0,40,0,0
20,0,10,2,8,1,0,0,28,0,1
31,0,12,0,8,2,0,1,40,0,0
39,0,10,1,1,3,0,1,40,0,1
28,0,12,2,3,3,0,0,60,0,1
24,0,9,2,2,3,0,0,40,0,1
38,1,9,0,1,2,0,1,35,0,1
37,0,13,0,3,2,0,1,50,0,1
46,0,12,1,0,3,4,0,36,0,1
38,3,14,0,5,2,0,1,40,13,0
43,1,9,0,1,2,0,1,60,0,1
27,0,11,0,8,0,0,0,35,0,1
20,0,10,2,3,1,0,1,20,0,1
49,0,10,0,1,2,1,1,40,0,0
61,2,9,0,1,2,0,1,40,0,1
27,0,10,2,3,1,0,0,40,0,1
19,0,10,2,2,1,0,1,30,20,1
45,0,11,2,5,3,0,0,40,0,0
70,0,10,2,0,4,0,1,40,0,1
31,0,9,2,10,5,4,0,30,0,1
22,0,10,0,2,2,0,1,24,0,1
36,0,9,4,2,5,0,0,24,0,1
64,0,7,0,1,2,0,1,40,0,1
47,4,10,1,8,5,0,0,38,20,1
34,0,9,2,8,3,0,0,40,0,1
33,0,13,2,4,4,1,0,40,15,1
21,0,9,2,1,1,0,1,35,0,1
48,0,9,0,1,2,0,1,46,0,1
23,0,13,2,6,3,0,1,40,0,1
71,1,10,3,3,5,4,1,2,0,1
29,0,9,1,1,3,0,1,60,0,1
42,0,13,3,2,4,4,1,50,0,1
25,0,9,2,2,5,0,0,40,0,1
44,2,14,1,4,5,1,0,40,0,1
28,0,9,2,4,3,1,0,40,2,1
45,1,14,0,3,2,0,1,40,0,0
36,0,10,1,2,5,0,0,40,20,1
39,3,12,2,4,3,0,1,42,0,1
46,5,14,4,12,5,0,1,40,0,1
18,0,7,2,6,1,0,1,16,0,1
66,4,11,4,5,3,0,0,20,0,1
27,0,9,2,2,3,0,1,40,0,1
28,5,9,0,12,2,0,1,40,0,1
51,0,10,0,3,2,0,1,40,0,0
27,0,13,2,1,3,0,1,50,0,1
28,5,13,0,5,2,0,1,40,0,0
27,0,9,5,3,5,0,0,25,0,1
21,0,9,2,1,1,4,1,40,0,1
34,0,9,2,6,3,4,1,40,0,1
18,0,9,2,2,1,0,1,12,0,1
33,0,13,0,5,2,0,1,65,0,1
44,4,10,0,4,2,4,1,38,0,0
43,0,10,1,8,3,0,0,40,0,1
30,0,10,2,1,3,4,1,45,0,1
40,0,4,0,7,2,0,1,40,20,0
37,3,10,0,8,2,0,1,42,0,0
34,0,9,0,8,2,4,1,40,0,1
41,1,13,1,4,3,0,0,40,0,1
31,0,14,0,5,0,0,0,50,0,1
58,5,16,0,5,2,0,1,1,0,0
38,0,10,1,7,3,4,0,28,0,1
24,0,10,0,7,2,0,1,40,0,1
41,4,13,0,1,2,4,1,40,0,1
47,0,10,0,0,2,0,1,45,0,1
41,3,13,0,0,2,0,1,24,0,1
23,0,3,0,10,4,0,1,40,20,1
36,0,10,1,1,3,0,1,40,0,1
40,3,14,2,4,3,0,0,55,0,0
35,0,14,0,5,4,0,1,40,0,0
24,1,9,2,3,3,0,1,40,0,1
26,0,14,2,5,3,0,0,40,0,1
51,0,13,0,4,2,0,1,50,0,0
42,4,10,2,5,3,0,0,40,0,1
37,5,9,1,8,5,0,0,35,0,1
18,0,7,2,3,1,0,0,40,0,1
36,0,13,0,2,2,4,1,36,0,0
35,0,9,1,1,3,0,1,60,0,1
58,2,9,0,3,0,0,0,35,0,0
17,0,7,2,3,1,0,0,12,0,1
44,4,9,0,10,2,4,1,40,0,1
37,0,9,0,1,2,0,1,40,0,0
35,0,10,2,3,3,2,0,40,0,1
60,0,9,0,1,2,1,1,40,0,1
54,2,4,0,7,2,0,1,40,0,0
37,0,13,2,4,3,4,1,60,0,0
50,0,12,1,3,3,0,0,40,0,1
38,0,13,0,3,2,0,1,50,17,1
45,0,13,0,5,2,0,1,55,0,1
25,0,6,2,1,3,0,1,40,0,1
31,0,10,0,6,2,0,1,40,0,1
90,0,9,2,2,3,4,1,40,0,1
54,0,9,0,8,2,4,1,20,0,1
53,4,1,2,7,3,0,0,35,0,1
18,0,9,2,3,1,0,0,40,0,1
66,1,9,0,9,2,0,1,50,0,1
75,0,11,4,8,3,0,0,20,29,1
65,0,9,1,8,3,0,0,40,0,1
35,0,7,3,10,3,4,1,40,0,1
41,0,9,1,3,5,4,0,38,0,1
25,0,10,2,8,3,0,1,42,0,1
33,0,10,1,1,4,3,0,40,0,1
28,0,15,2,5,3,0,1,55,0,0
59,5,9,0,2,2,0,1,40,0,1
40,5,10,2,8,3,0,0,38,0,1
41,0,13,0,4,2,0,1,50,13,0
38,4,14,0,4,2,0,1,70,0,0
23,0,9,2,10,1,0,1,40,0,1
40,0,13,0,5,2,0,1,40,0,0
41,1,9,0,2,0,0,0,20,0,1
24,5,12,0,12,2,0,1,50,0,1
38,0,10,1,1,3,0,1,40,0,1
58,0,9,0,8,2,0,1,45,0,0
32,0,9,2,2,3,0,0,34,0,1
40,0,12,0,0,2,0,1,60,0,0
41,0,15,0,5,0,0,0,40,0,0
42,0,13,0,8,0,4,0,40,0,1
59,4,6,4,2,5,4,0,30,0,1
19,4,10,2,8,1,0,1,40,0,1
58,0,10,2,10,3,0,1,20,0,1
42,1,9,0,9,2,1,1,40,1,0
20,0,9,2,2,1,0,0,40,0,1
32,0,9,3,2,3,0,0,30,0,1
45,0,11,4,4,3,0,0,45,0,1
50,0,4,1,1,3,0,1,40,0,1
36,0,13,1,5,1,0,0,40,0,1
45,0,9,0,3,2,0,1,60,0,1
17,0,7,2,2,1,0,1,12,0,1
59,0,10,0,3,2,0,1,40,0,1
26,0,7,0,1,2,0,1,40,0,1
37,2,10,0,4,2,1,1,75,34,0
64,0,9,0,4,2,0,1,40,0,0
33,0,13,2,5,3,0,0,45,0,1
33,0,9,0,1,0,0,0,40,0,0
61,0,9,0,4,2,0,1,40,0,0
17,0,5,2,2,1,0,1,24,0,1
50,1,14,0,9,2,0,1,98,0,1
27,4,14,2,5,1,0,1,35,0,1
30,0,9,1,5,1,0,0,40,0,1
43,0,9,0,6,2,4,1,40,0,1
44,0,10,0,1,2,0,1,40,0,0
35,0,10,2,4,3,0,0,40,0,1
25,0,10,2,0,1,0,0,40,0,1
24,0,10,0,7,0,0,0,48,0,0
22,0,13,2,5,3,0,0,15,5,1
42,4,10,0,1,2,0,1,40,0,0
34,0,12,1,3,5,4,0,45,0,1
60,0,13,1,5,3,0,0,42,0,1
21,0,9,2,6,1,0,1,40,0,1
57,3,14,0,3,2,0,1,40,0,0
41,0,15,0,5,2,0,1,60,0,0
50,0,10,1,2,3,0,1,45,0,1
25,0,13,2,4,3,0,0,40,0,1
50,0,4,0,1,2,0,1,40,26,1
36,0,13,0,5,2,0,1,45,0,1
31,0,9,1,5,3,0,0,40,0,1
29,4,13,2,12,3,0,1,56,0,1
21,0,10,2,3,1,0,1,45,0,1
27,0,13,2,0,5,4,0,40,0,1
65,0,9,0,10,2,0,1,16,0,1
37,2,13,1,3,3,0,0,60,0,1
24,0,9,2,1,1,0,1,40,0,1
38,0,9,1,3,3,0,1,80,0,1
48,0,13,0,8,2,0,1,40,0,0
21,0,10,2,2,3,1,0,25,0,1
31,0,9,0,10,2,0,1,45,0,0
55,0,9,0,3,2,0,1,40,0,0
24,0,10,0,8,0,1,0,40,25,1
43,0,9,1,8,3,0,0,40,0,1
26,0,12,2,0,3,0,1,45,0,1
46,0,12,2,5,3,0,0,33,0,1
35,0,12,0,8,2,0,1,40,0,0
41,2,10,0,9,2,0,1,54,0,0
26,0,13,2,3,3,0,1,40,0,1
34,0,14,0,4,2,1,1,35,27,0
36,1,13,1,5,3,4,0,40,0,0
22,0,10,2,3,1,0,1,15,0,1
24,0,10,2,7,3,0,1,40,0,1
77,1,10,0,3,2,0,1,40,0,1
22,0,3,0,7,4,0,0,40,20,1
29,0,10,2,0,3,0,0,40,0,1
62,0,9,4,2,3,0,0,24,0,1
39,1,9,0,4,2,0,1,40,0,1
43,0,10,0,1,2,0,1,50,0,1
35,0,9,1,10,3,0,1,45,0,1
29,0,7,2,4,3,0,0,40,0,1
76,1,14,0,1,2,0,1,10,0,1
63,1,9,0,9,2,0,1,45,0,1
43,0,10,0,5,0,0,0,50,0,0
58,1,9,0,6,2,0,1,40,0,1
66,0,9,2,10,3,0,1,55,0,1
41,0,10,2,1,3,4,1,45,0,1
26,0,13,2,8,3,0,1,40,0,1
47,0,11,2,2,3,0,1,40,0,1
55,4,6,0,8,2,0,1,40,0,1
53,0,9,0,10,2,0,1,40,0,1
17,0,3,2,2,4,0,1,48,20,1
30,0,9,2,1,4,0,1,40,0,1
49,0,14,2,5,3,0,1,60,0,1
19,0,9,2,3,5,4,1,30,28,1
45,0,9,0,2,2,4,1,40,0,1
26,0,12,2,3,3,0,1,40,0,1
38,0,11,0,1,2,0,1,40,0,0
36,5,9,0,12,2,0,1,40,0,0
33,0,9,2,9,3,0,1,20,0,1
22,5,10,2,12,1,4,0,40,0,1
43,1,13,2,3,3,0,1,42,0,1
56,0,12,5,2,3,0,1,25,13,1
31,0,13,2,5,1,0,1,25,0,1
33,0,13,0,4,2,0,1,40,0,0
26,0,9,0,2,2,0,1,40,0,1
33,0,13,0,4,2,0,1,40,0,0
46,4,7,0,10,2,0,1,30,0,1
38,3,9,0,8,2,0,1,40,0,0
65,0,7,4,2,5,3,1,40,0,1
40,0,11,0,0,2,0,1,40,0,0
42,0,9,0,8,0,0,0,35,0,1
26,1,5,0,1,2,0,1,40,21,1
36,0,6,0,2,0,0,0,24,0,1
62,0,14,0,5,2,0,1,40,0,0
43,0,13,0,10,2,0,1,45,0,1
43,0,13,1,4,3,0,1,45,0,0
22,0,9,5,3,3,0,1,55,0,1
28,0,9,0,1,2,0,1,40,0,1
56,1,10,0,3,2,0,1,45,0,1
22,0,12,2,3,3,0,0,15,0,1
57,0,13,1,4,3,0,0,45,0,0
39,0,9,1,3,5,0,0,40,0,1
26,3,10,2,8,5,0,0,15,0,1
17,0,7,2,2,1,0,1,10,0,1
40,5,11,0,7,2,0,1,38,0,0
45,0,9,0,7,2,4,1,40,0,1
44,0,9,2,1,3,4,1,40,0,1
20,4,10,2,8,1,0,0,10,0,1
33,0,9,0,1,0,0,0,40,0,1
23,0,10,2,3,3,0,1,40,0,1
46,1,14,1,4,3,0,1,30,0,1
38,0,9,0,3,2,0,1,50,0,1
54,0,9,1,10,3,0,1,40,0,1
46,0,3,1,1,3,0,0,45,0,1
25,0,10,0,1,2,0,1,40,0,1
46,0,10,1,3,3,0,0,40,0,1
36,4,10,0,10,0,0,0,40,0,1
23,0,9,2,2,3,0,0,25,0,1
29,0,9,3,7,3,0,1,40,0,1
44,0,10,0,8,0,0,0,6,0,0
19,0,10,2,8,1,0,0,16,0,1
19,0,9,2,2,4,0,0,40,0,1
35,0,9,0,2,0,0,0,40,0,0
27,0,13,2,1,3,0,1,50,0,1
46,1,12,3,1,3,0,1,40,0,1
34,0,9,2,2,3,0,0,35,0,1
44,0,10,0,0,2,0,1,40,0,1
45,0,10,1,6,5,0,0,40,0,1
25,0,13,0,4,2,0,1,55,0,0
52,2,13,0,4,2,0,1,50,0,0
20,0,10,2,6,1,0,1,40,0,1
28,0,10,2,2,3,0,0,40,0,1
50,5,13,0,12,2,0,1,40,0,0
34,0,11,1,0,3,0,0,64,0,1
28,0,4,0,6,2,3,1,40,3,1
41,0,14,0,4,2,0,1,65,0,0
28,0,9,0,8,2,0,1,40,0,1
46,1,9,0,1,2,0,1,25,0,1
32,0,10,0,4,2,0,1,50,0,1
41,4,10,1,2,3,4,0,24,0,1
24,0,9,2,6,5,4,0,40,0,1
33,0,10,1,4,5,0,0,40,0,1
46,0,16,0,4,2,0,1,60,0,0
31,5,10,0,7,2,0,1,40,0,1
35,0,8,1,1,3,0,1,50,0,0
52,0,2,0,7,2,0,1,40,20,1
30,0,7,2,2,1,0,0,19,0,1
34,4,7,3,7,3,4,1,40,0,1
34,5,9,1,10,5,0,0,40,0,1
20,0,10,0,3,2,0,1,30,0,1
17,0,7,2,6,1,0,1,18,0,1
32,5,13,0,4,0,0,0,40,0,0
29,0,9,1,9,3,0,1,40,0,1
33,0,6,2,1,5,0,0,35,0,1
25,0,9,0,10,2,0,1,60,0,1
36,3,14,2,5,3,0,1,40,0,1
23,0,9,2,6,3,0,1,72,24,1
63,2,9,0,4,2,0,1,40,0,0
47,4,14,0,5,2,0,1,40,0,1
40,1,13,5,5,3,0,0,40,0,1
30,0,12,0,2,0,0,0,25,0,0
27,0,10,2,1,1,1,1,40,15,1
33,0,14,0,5,2,0,1,50,0,0
34,4,9,2,9,3,4,1,60,0,1
34,4,10,2,12,3,0,0,40,0,1
23,0,10,0,8,2,0,1,40,0,1
42,4,10,0,8,0,0,0,40,0,1
29,0,13,2,5,3,0,1,40,0,1
45,0,9,1,8,3,0,0,28,0,1
24,3,9,2,13,1,0,1,40,0,1
44,0,10,0,5,2,0,1,40,0,0
27,0,5,2,1,4,0,1,40,20,1
20,0,10,2,3,3,0,1,35,0,1
44,0,9,4,4,5,4,0,40,0,1
51,0,9,0,1,2,2,1,40,0,1
20,0,9,0,7,2,0,1,40,0,1
19,0,9,2,7,1,4,0,40,0,1
45,2,10,0,1,2,0,1,55,0,0
60,0,9,0,1,2,0,1,40,0,0
44,1,9,0,3,0,0,0,40,0,0
40,0,11,0,7,2,1,1,40,0,0
30,0,9,0,4,0,0,0,40,0,1
38,0,10,0,10,2,4,1,50,0,1
23,0,9,0,10,2,0,1,60,0,1
44,0,12,2,9,1,0,1,40,0,1
54,4,9,0,10,2,4,1,40,0,1
32,0,13,0,5,2,0,1,50,0,1
50,0,2,5,1,5,0,1,40,0,1
24,0,13,2,0,3,0,0,20,0,1
37,0,9,0,8,0,0,0,60,0,1
52,0,9,1,10,5,0,1,40,0,1
38,0,10,0,10,2,0,1,40,0,1
49,0,14,0,4,2,0,1,45,0,0
30,0,13,0,0,0,0,0,16,0,0
60,0,10,2,5,5,0,1,40,0,0
35,0,9,2,1,3,0,1,40,0,1
30,0,9,2,10,3,0,1,60,0,1
67,0,11,1,2,3,0,0,24,0,1
46,0,13,2,1,3,0,0,40,0,1
17,0,5,2,2,3,0,1,6,0,1
22,0,10,2,6,1,0,1,30,0,1
27,0,6,2,2,3,0,1,40,0,1
23,0,9,2,2,5,0,0,35,0,1
33,0,12,0,1,2,0,1,45,21,1
43,1,10,0,1,2,0,1,20,0,1
28,5,13,2,5,3,0,1,20,0,1
41,0,9,5,1,5,0,0,40,0,1
25,0,10,5,8,1,4,0,20,0,1
59,4,9,0,10,2,0,1,45,0,1
45,4,13,1,5,5,0,0,40,0,1
38,0,13,0,3,2,0,1,60,0,0
40,0,9,2,2,3,0,0,35,0,1
46,3,9,1,8,3,0,1,40,0,1
35,0,12,2,4,3,0,0,60,0,1
34,0,9,1,5,5,0,0,25,0,1
33,0,13,2,1,1,0,1,20,0,1
41,0,9,1,8,5,0,0,36,0,1
20,0,10,2,7,1,0,1,40,0,1
23,0,3,2,2,1,0,1,40,36,1
26,0,10,2,5,3,0,0,35,0,1
23,4,9,2,9,3,0,1,40,17,1
62,4,9,0,10,2,0,1,40,0,1
52,0,10,0,8,2,0,1,40,0,1
58,0,10,1,2,5,0,0,42,23,1
25,0,13,2,3,3,0,0,40,0,1
24,0,13,2,4,3,4,1,40,0,1
19,0,10,2,12,1,0,1,8,0,1
43,0,10,0,4,2,0,1,40,0,1
47,4,9,3,8,5,4,0,40,0,1
39,0,9,1,2,5,0,0,40,0,1
49,0,11,5,6,5,0,1,42,0,1
32,0,11,2,1,3,0,1,45,0,1
34,0,10,0,5,2,0,1,50,0,0
28,0,9,1,1,3,0,1,45,0,1
25,0,10,2,8,3,2,0,20,0,1
34,0,13,0,5,2,0,1,50,0,0
38,2,13,0,4,2,0,1,80,0,0
50,0,9,0,4,2,0,1,50,0,0
24,4,10,1,6,3,4,1,50,0,1
37,4,10,0,0,2,0,1,45,0,0
44,0,10,1,7,5,0,1,58,0,0
28,0,10,0,3,0,0,0,40,0,1
42,0,13,0,4,2,0,1,40,0,0
74,0,10,1,8,3,0,0,9,0,1
38,1,9,0,1,2,0,1,50,0,1
44,1,14,0,5,2,0,1,40,0,1
44,0,7,1,7,5,3,0,46,3,1
26,0,9,2,7,3,0,1,40,0,1
36,0,9,0,2,2,4,1,40,0,1
41,0,12,0,4,0,0,0,50,0,0
67,0,15,0,5,2,0,1,48,0,0
39,4,8,0,0,2,0,1,50,0,1
57,0,2,4,11,3,4,0,30,0,1
29,0,11,3,1,3,0,1,40,0,1
31,2,13,2,9,3,0,0,45,0,1
44,0,10,0,10,2,0,1,40,0,1
29,0,16,2,5,1,0,1,40,0,1
30,0,10,2,6,5,0,0,40,0,1
27,0,9,2,10,3,0,1,40,0,1
27,0,10,0,3,2,0,1,50,0,1
32,0,9,2,6,3,0,0,45,0,1
58,0,6,0,2,0,0,0,8,0,1
35,4,10,0,12,2,0,1,40,0,1
21,0,9,2,6,1,0,1,36,0,1
28,0,10,2,1,5,0,1,40,0,1
46,1,10,1,4,3,0,1,50,0,1
36,1,9,3,2,5,0,0,40,0,1
72,0,7,4,8,5,0,0,40,0,1
35,0,9,0,7,0,4,0,40,0,1
33,3,11,1,1,5,4,0,40,0,0
69,0,7,2,7,3,0,0,40,0,1
35,0,9,0,7,2,0,1,40,0,1
34,0,9,0,0,0,0,0,32,0,1
30,0,7,0,2,2,0,1,40,20,1
28,0,13,2,10,3,0,1,55,0,1
54,0,13,0,3,2,0,1,35,0,0
47,0,10,0,5,2,0,1,50,0,0
24,0,9,2,6,5,4,0,40,0,1
52,1,13,0,5,2,0,1,60,0,0
20,0,9,2,6,1,2,1,48,0,1
43,2,14,0,4,2,0,1,45,0,1
45,0,4,3,2,5,0,0,40,20,1
29,1,9,3,1,3,0,1,35,0,1
47,0,14,1,4,5,0,1,42,0,1
24,0,9,2,1,1,0,1,40,0,1
51,0,9,0,5,2,0,1,40,0,1
17,0,7,2,3,1,0,1,12,0,1
37,0,11,0,1,2,0,1,40,0,0
27,0,16,2,5,3,0,0,70,0,1
29,0,13,0,4,0,0,1,40,0,0
36,1,12,1,3,5,0,0,35,0,1
58,4,13,2,5,3,0,0,40,0,1
26,1,10,0,1,2,0,1,45,0,1
57,0,9,0,3,2,0,1,40,0,0
59,0,9,0,1,2,0,1,40,0,1
27,0,9,0,7,2,0,1,40,0,1
31,1,13,2,0,3,0,1,40,0,1
21,0,10,2,3,1,0,0,24,0,1
29,0,10,2,8,3,0,1,60,0,1
18,0,7,2,2,1,0,1,40,0,1
52,0,6,0,1,2,0,1,47,0,0
57,2,13,1,5,3,0,1,80,0,1
60,0,4,2,10,3,0,1,48,0,0
31,0,13,0,5,2,0,1,40,4,0
23,0,13,2,8,1,0,0,40,0,1
27,0,9,2,3,1,0,1,40,0,1
42,1,15,0,5,2,0,1,50,0,0
25,0,10,2,0,3,0,1,40,0,1
49,0,13,2,5,3,0,0,45,0,1
32,0,13,2,0,3,0,1,40,0,1
19,0,10,2,8,1,0,1,28,0,1
60,0,4,1,2,3,0,0,40,0,1
42,4,5,0,2,2,0,1,40,0,1
35,1,12,2,9,3,0,1,40,0,1
48,0,9,2,8,5,4,0,37,0,1
51,0,14,0,1,2,0,1,40,0,0
29,0,9,2,1,3,2,1,40,0,1
36,4,9,3,4,3,4,1,40,0,1
17,0,6,2,2,1,0,0,21,0,1
52,0,14,1,5,3,0,0,60,0,1
24,0,9,2,1,3,0,1,40,0,1
24,0,9,0,6,2,0,1,50,0,1
26,4,13,2,5,1,0,1,40,0,1
27,0,13,2,2,1,0,0,20,0,1
39,0,9,2,6,1,0,1,60,0,1
30,0,9,0,10,2,4,1,45,0,1
50,1,9,0,4,2,0,1,32,0,1
52,2,13,0,3,2,0,1,55,0,1
46,0,15,0,5,2,0,1,45,0,0
23,0,13,2,3,1,0,0,20,0,1
45,0,7,4,2,3,4,0,20,0,1
65,0,5,4,11,5,4,0,24,0,1
29,0,11,0,10,2,0,1,55,0,1
47,0,5,5,6,5,0,1,40,36,1
30,0,9,2,9,1,4,1,60,0,1
34,0,9,0,3,2,0,1,45,0,0
38,1,9,0,3,2,0,1,64,0,1
33,0,10,0,4,2,0,1,40,0,0
49,0,13,0,3,2,0,1,26,0,0
47,1,10,2,2,5,4,0,40,0,1
49,4,6,3,2,5,4,0,40,0,1
43,0,10,0,1,2,0,1,60,0,0
30,0,13,0,8,0,4,0,40,0,0
58,1,9,0,1,2,0,1,60,0,1
19,0,9,2,2,1,0,0,14,0,1
21,0,13,2,6,3,0,1,40,0,1
33,0,13,0,4,2,0,1,60,0,0
47,2,3,0,10,2,0,1,50,12,1
52,1,16,0,5,2,0,1,60,0,0
26,0,9,1,1,3,0,1,55,0,1
60,0,9,0,1,2,0,1,40,0,1
21,0,10,2,6,1,0,1,40,0,1
36,0,10,0,3,2,0,1,50,0,0
31,0,10,0,1,2,0,1,45,0,1
50,2,16,3,5,3,0,1,40,0,0
31,4,9,1,8,5,0,0,40,0,1
71,0,9,0,1,2,0,1,15,0,1
30,5,13,0,0,2,0,1,40,0,0
20,0,10,2,2,1,0,1,20,0,1
24,0,9,2,4,4,0,1,50,0,1
35,0,16,0,5,2,1,1,40,27,0
38,5,10,3,4,3,0,0,45,0,1
27,0,9,2,7,1,0,0,32,0,1
29,5,10,2,8,5,1,0,40,15,1
34,0,9,0,1,2,0,1,45,0,1
44,0,4,0,1,2,0,1,35,0,1
43,0,9,0,7,2,0,1,40,0,0
44,1,8,0,6,2,4,1,40,0,0
35,0,14,2,3,3,0,1,60,0,1
27,0,10,2,5,3,0,1,40,0,1
43,4,14,2,5,3,0,1,38,0,1
20,0,10,2,3,3,0,0,25,0,1
42,0,12,1,5,5,0,0,40,0,0
27,5,10,0,10,2,0,1,40,0,1
42,0,9,0,1,2,4,1,40,0,0
24,0,5,2,7,3,0,1,40,0,1
48,3,10,1,4,3,0,1,40,0,1
17,1,7,2,9,1,0,1,10,0,1
33,0,13,0,4,2,0,1,40,0,0
50,2,9,0,3,2,0,1,50,0,0
22,0,9,2,3,1,0,0,40,0,1
17,0,8,2,2,1,0,1,16,0,1
32,0,10,0,8,2,0,1,40,20,1
31,0,9,2,1,3,0,1,45,0,1
58,1,9,4,4,3,0,1,50,0,1
29,4,9,2,12,1,0,1,48,0,1
37,0,11,0,1,2,0,1,40,21,0
34,1,9,0,1,2,0,1,40,0,0
23,4,10,3,4,5,4,1,40,0,1
18,5,7,2,8,1,0,0,5,0,1
34,0,9,1,4,3,0,0,40,0,1
